id	isbn	title	authors	publication_year	
2980	316113573	Ghostgirl	Tonya Hurley	2008	
2981	316113662	The Name of This Book Is Secret	Pseudonymous Bosch, Gilbert Ford	2007	
2982	316113670	If You're Reading This, It's Too Late	Pseudonymous Bosch, Gilbert Ford	2008	
2983	316113786	Say You're One of Them	Uwem Akpan	2008	
2984	316114278	Where the Mountain Meets the Moon	Grace Lin	2009	
2985	316115002	The Pretty Committee Strikes Back (The Clique, #5)	Lisi Harrison	2006	
2986	316115045	Dial L for Loser (The Clique, #6)	Lisi Harrison	2006	
2987	316117366	The Quickie	James Patterson, Michael Ledwidge	2007	
2988	316120553	Now You See Her	James Patterson, Michael Ledwidge	2011	
2989	316122386	The Statistical Probability of Love at First Sight	Jennifer E. Smith	2012	
2990	316123080	"""Who Could That Be at This Hour?"""	Lemony Snicket, Seth	2012	
2991	316123358	The Heroes	Joe Abercrombie	2011	
2992	316123404	Surface Detail	Iain M. Banks	2010	
2993	316123528	Beautiful Chaos	Kami Garcia, Margaret Stohl, Paz Pruneda	2011	
2994	316123536	Beautiful Redemption	Kami Garcia, Margaret Stohl	2012	
2995	316125849	I Hunt Killers	Barry Lyga	2012	
2996	316126691	The Art of Fielding	Chad Harbach	2011	
2997	316127191	Heartless	Gail Carriger	2011	
2998	316127256	Why We Broke Up	Daniel Handler, Maira Kalman	2011	
2999	316129070	Abaddon's Gate	James S.A. Corey	2013	
3000	316133191	Twilight: The Graphic Novel,	Stephenie Meyer, Young Kim	2011	
3001	316133973	Days of Blood & Starlight	Laini Taylor	2012	
3002	316134023	Daughter of Smoke & Bone	Laini Taylor	2011	
3003	316134074	Dreams of Gods & Monsters	Laini Taylor	2014	
3004	316143472	When You Are Engulfed in Flames	David Sedaris	2008	
3005	316154385	The Ice Queen	Alice Hoffman	2005	
3006	316154512	A Wedding in December	Anita Shreve	2005	
3007	316154695	Lets Explore Diabetes with Owls	David Sedaris	2013	
3008	316154857	When Will There Be Good News?	Kate Atkinson	2008	
3009	316155594	School's Out Forever	James Patterson	2006	
3010	316155608	Saving The World and Other Extreme Sports	James Patterson	2006	
3011	316156116	Consider the Lobster	David Foster Wallace	2005	
3012	316156280	Lord of the Shadows (Cirque Du Freak, #11)	Darren Shan	2005	
3013	316156299	Sons of Destiny (Cirque Du Freak, Book 12)	Darren Shan	2002	
3014	316159417	Bokhandleren i Kabul	Åsne Seierstad, Ingrid Christopherson	2002	
3015	316159433	Flyboys: A True Story of Courage	James D. Bradley	2003	
3016	316159786	Beach Road	James Patterson, Peter de Jonge	2006	
3017	316159794	Cross	James Patterson	2006	
3018	316160199	New Moon (Twilight, #2)	Stephenie Meyer	2006	
3019	316160202	Eclipse	Stephenie Meyer	2007	
3020	316166294	The Brass Verdict	Michael Connelly	2008	
3021	316166316	Nine Dragons	Michael Connelly	2009	
3022	316166685	The Lovely Bones	Alice Sebold	2002	
3023	316175560	Shut Out	Kody Keplinger	2011	
3024	316175676	The Snow Child	Eowyn Ivey	2012	
3025	316176044	Red Riding Hood	Sarah Blakley-Cartwright, David Leslie Johnson, Catherine Hardwicke	2011	
3026	316176486	Life After Life	Kate Atkinson	2013	
3027	316176532	A God in Ruins	Kate Atkinson	2015	
3028	316182540	White Oleander	Janet Fitch	1999	
3029	316182745	Paint It Black	Janet Fitch	2006	
3030	316184136	The Complete Poems of Emily Dickinson	Emily Dickinson, Thomas H. Johnson	1890	
3031	316185906	The Lifeboat	Charlotte Rogan	2012	
3032	316187704	Rise of Empire	Michael J. Sullivan	2010	
3033	316187712	Heir of Novron	Michael J. Sullivan	2012	
3034	316187747	Theft of Swords	Michael J. Sullivan	2011	
3035	316191299	Holidays on Ice	David Sedaris	1997	
3036	316194689	Ask the Passengers	A.S. King	2012	
3037	316196487	Perfect Shadow	Brent Weeks	2011	
3038	316196991	The House of Silk	Anthony Horowitz	2011	
3039	316197041	Dream Dark	Kami Garcia, Margaret Stohl	2011	
3040	316197084	Altered	Jennifer Rush	2013	
3041	316201545	The Enchantress Returns	Chris Colfer, Brandon Dorman	2013	
3042	316201642	S.	J.J. Abrams, Doug Dorst	2013	
3043	316204277	Where'd You Go, Bernadette	Maria Semple	2012	
3044	316204366	David and Goliath	Malcolm Gladwell	2011	
3045	316206849	The Cuckoo's Calling	Robert Galbraith, J.K. Rowling	2013	
3046	316206873	The Silkworm	Robert Galbraith, J.K. Rowling	2014	
3047	316210730	Merry Christmas, Alex Cross	James Patterson	2011	
3048	316210900	Cross My Heart	James Patterson	2013	
3049	316210986	Gone	James Patterson, Michael Ledwidge	2013	
3050	316211176	Private Berlin	James Patterson, Mark T. Sullivan	2013	
3051	316211222	Second Honeymoon	James Patterson, Howard Roughan	2013	
3052	316211265	NYPD Red 2	James Patterson, Marshall Karp	2014	
3053	316211338	Tigers in Red Weather	Liza Klaussmann	2012	
3054	316212822	This Is What Happy Looks Like	Jennifer E. Smith	2013	
3055	316213071	The Darkest Part of the Forest	Holly Black	2015	
3056	316213101	The Coldest Girl in Coldtown	Holly Black	2013	
3057	316214442	Red Country	Joe Abercrombie	2012	
3058	316216828	Broken Monsters	Lauren Beukes	2014	
3059	316216852	The Shining Girls	Lauren Beukes	2013	
3060	316219037	Promise of Blood	Brian  McClellan	2013	
3061	316219126	The Autumn Republic 	Brian  McClellan	2015	
3062	316219363	The Yellow Birds	Kevin Powers	2012	
3063	316221333	Forgive Me, Leonard Peacock	Matthew Quick	2013	
3064	316224138	NYPD Red	James Patterson, Marshall Karp	2012	
3065	316224189	Confessions of a murder suspect	James Patterson, Maxine Paetro	2012	
3066	316225886	The Crossing	Michael Connelly	2015	
3067	316225932	The Burning Room	Michael Connelly	2014	
3068	316225940	The Wrong Side of Goodbye	Michael Connelly	2016	
3069	316228532	The Casual Vacancy	J.K. Rowling	2012	
3070	316229296	The Fifth Season	N.K. Jemisin	2015	
3071	316230812	We Need New Names	NoViolet Bulawayo	2013	
3072	316231053	The Fever	Megan Abbott	2014	
3073	316234478	The 100	Kass Morgan	2013	
3074	316234559	Day 21	Kass Morgan	2014	
3075	316236535	Go Away, Big Green Monster!	Ed Emberley	1992	
3076	316239992	First Love	James Patterson, Emily Raymond	2013	
3077	316243914	Burial Rites	Hannah Kent	2013	
3078	316246573	The Universe Versus Alex Woods	Gavin Extence	2013	
3079	316246654	Ancillary Sword	Ann Leckie	2014	
3080	316250813	California	Edan Lepucki	2014	
3081	316252905	Jamaica Inn	Daphne du Maurier	1935	
3082	316252964	My Cousin Rachel	Daphne du Maurier	1951	
3083	316253014	An Astronaut’s Guide to Life on Earth	Chris Hadfield	2013	
3084	316254770	The Geography of You and Me	Jennifer E. Smith	2014	
3085	316261130	Winter Stroll	Elin Hilderbrand	2015	
3086	316261246	Underground Airlines	Ben H. Winters	2016	
3087	316296198	The Magus	John Fowles	1965	
3088	316322407	I Am Malala: The Girl Who Stood Up for Education and Was Shot by the Taliban	Malala Yousafzai, Christina Lamb	2012	
3089	316334529	The Rumor	Elin Hilderbrand	2015	
3090	316341517	Mythology	Edith Hamilton, Steele Savage	1942	
3091	316346624	The Tipping Point: How Little Things Can Make a Big Difference	Malcolm Gladwell	2000	
3092	316348406	Shrill: Women Are Funny, It's Okay to Be Fat, and Feminists Don't Have to Be Nice	Lindy West	2016	
3093	316349933	Career of Evil	Robert Galbraith, J.K. Rowling	2015	
3094	316353299	Blue Highways: A Journey into America	William Least Heat-Moon	1982	
3095	316358320	Le secret de la Licorne	Hergé	1943	
3096	316369152	Very Good Lives: The Fringe Benefits of Failure and the Importance of Imagination	J.K. Rowling, Joel Holland	2015	
3097	316376116	Winter Street	Elin Hilderbrand	2014	
3098	316393878	The Wonder	Emma Donoghue	2016	
3099	316399620	The First Fifteen Lives of Harry August	Claire North	2014	
3100	316405345	Invisible	James Patterson, David Ellis	2014	
3101	316406813	A Grimm Warning	Chris Colfer, Brandon Dorman	2014	
3102	316407038	Alert	James Patterson, Michael Ledwidge	2015	
3103	316407135	Cross Justice	James Patterson	2015	
3104	316410985	The Murder House	James Patterson, David Ellis	2015	
3105	316548189	Long Walk to Freedom: The Autobiography of Nelson Mandela	Nelson Mandela	1994	
3106	316601950	The Pilot's Wife	Anita Shreve	1998	
3107	316611689	Mutiny on the Bounty	Charles Bernard Nordhoff, James Norman Hall	1932	
3108	316677469	The Almost Moon	Alice Sebold	2007	
3109	316701319	Best Friends for Never (The Clique, #2)	Lisi Harrison	2004	
3110	316701343	Invasion of the Boy Snatchers	Lisi Harrison	2005	
3111	316713732	The Last Time They Met	Anita Shreve	2001	
3112	316726192	Trading Up	Candace Bushnell	2003	
3113	316734837	Fortune's Rocks	Anita Shreve	1999	
3114	316734950	Echo Park	Michael Connelly	2006	
3115	316735167	You're the one that I want	Cecily von Ziegesar	2004	
3116	316735507	Eat to Live	Joel Fuhrman	2003	
3117	316737372	How to train your dragon	Cressida Cowell	2003	
3118	316766941	Raise High the Roof Beam, Carpenters / Seymour: An Introduction	J.D. Salinger	1955	
3119	316767727	Nine Stories	J.D. Salinger	1953	
3120	316769029	Franny and Zooey	J.D. Salinger	1961	
3121	316769177	The Catcher in the Rye	J.D. Salinger	1951	
3122	316777730	Naked	David Sedaris	1997	
3123	316778508	The Dogs of Babel	Carolyn  Parkhurst	2003	
3124	316779423	Barrel Fever: Stories and Essays	David Sedaris	1994	
3125	316780375	The Weight of Water	Anita Shreve	1997	
3126	316781460	Live from New York: An Uncensored History of Saturday Night Live	James Andrew Miller, Tom Shales	2001	
3127	316787531	Our Band Could Be Your Life: Scenes from the American Indie Underground 1981-1991	Michael Azerrad	2001	
3128	316881791	Never Cry Wolf : The Amazing True Story of Life Among Arctic Wolves	Farley Mowat	1963	
3129	316899984	River, Cross My Heart	Breena Clarke	1999	
3130	316905712	Cirque Du Freak (Cirque du Freak, #1) 	Darren Shan	2000	
3131	316905747	Vampire Mountain (Cirque du Freak, #4) 	Darren Shan	2001	
3132	316909688	Because I'm Worth It	Cecily von Ziegesar	2003	
3133	316910333	Gossip Girl	Cecily von Ziegesar	2002	
3134	316911488	You Know You Love Me	Cecily von Ziegesar	2002	
3135	316912123	All I Want Is Everything	Cecily von Ziegesar	2003	
3136	316921173	Infinite Jest	David Foster Wallace	1996	
3137	316925284	A Supposedly Fun Thing I'll Never Do Again: Essays and Arguments	David Foster Wallace	1996	
3138	316926051	A Handful of Dust	Evelyn Waugh	1934	
3139	316926345	Brideshead Revisited: The Sacred and Profane Memories of Captain Charles Ryder	Evelyn Waugh	1945	
3140	316952664	The Winds of War	Herman Wouk	1971	
3141	316954993	War and Remembrance	Herman Wouk	1978	
3142	316955108	The Caine Mutiny	Herman Wouk	1951	
3143	321107217	Hard Times: For These Times	Charles Dickens	1854	
3144	321344758	Don't Make Me Think! A common sense approach to web usability	Steve Krug	2000	
3145	321525655	Presentation Zen: Simple Ideas on Presentation Design and Delivery (Voices That Matter)	Garr Reynolds	2007	
3146	330247042	Marathon Man	William Goldman	1974	
3147	330311735	One	Richard Bach	1988	
3148	330314920	Outer Dark	Cormac McCarthy	1968	
3149	330316117	The Hitchhiker's Guide to the Galaxy: The Trilogy of Four (Hitchhiker's Guide, #1-4)	Douglas Adams	1986	
3150	330339184	The Informers	Bret Easton Ellis	1994	
3151	330340328	The Reality Dysfunction	Peter F. Hamilton	1996	
3152	330343475	An Anthropologist on Mars: Seven Paradoxical Tales	Oliver Sacks	1995	
3153	330344951	Ross Poldark	Winston Graham	1945	
3154	330348779	"""N"" is for Noose"	Sue Grafton	1998	
3155	330351435	The Neutronium Alchemist	Peter F. Hamilton	1997	
3156	330353829	The Memoirs of Cleopatra	Margaret George	1997	
3157	330369032	Lucky You	Carl Hiaasen	1991	
3158	330369954	Underworld	Don DeLillo	1997	
3159	330371231	High Five	Janet Evanovich	1999	
3160	330376152	The Fog	James Herbert	1975	
3161	330398059	Blubber	Judy Blume	1974	
3162	330411969	Dissolution	C.J. Sansom	2003	
3163	330411985	Winter in Madrid	C.J. Sansom	2006	
3164	330412744	Cosmopolis	Don DeLillo	2003	
3165	330418874	Boy Meets Girl	Meg Cabot	2004	
3166	330418882	Every Boy's Got One (Boy, #3)	Meg Cabot	2004	
3167	330419129	Under the Banner of Heaven: A Story of Violent Faith	Jon Krakauer	2003	
3168	330419641	Absolute Power	David Baldacci	1995	
3169	330425781	Graffiti Moon	Cath Crowley	2010	
3170	330426648	Stories of Your Life and Others 	Ted Chiang	2002	
3171	330448447	The Shifting Fog	Kate Morton	2006	
3172	330449605	The Forgotten Garden	Kate Morton	2008	
3173	330487140	A Bend in the River	V.S. Naipaul	1979	
3174	330487191	A House for Mr. Biswas	V.S. Naipaul	1961	
3175	330488902	The Death and Life of Charlie St. Cloud	Ben Sherwood	2004	
3176	330489674	Last Orders	Graham Swift	1996	
3177	330491237	So Long, and Thanks for All the Fish	Douglas Adams	1984	
3178	330493744	Kushiel's Dart	Jacqueline Carey	2001	
3179	330517090	Imperial Bedrooms	Bret Easton Ellis	2010	
3180	330519476	The Demon Trapper's Daughter	Jana Oliver	2011	
3181	333710932	The Gruffalo	Julia Donaldson, Axel Scheffler	1999	
3182	333725034	The Naked God 	Peter F. Hamilton	1999	
3183	333761189	The Rats	James Herbert	1974	
3184	340606517	Schindler's Ark	Thomas Keneally	1982	
3185	340640146	Rose Madder	Stephen King	1995	
3186	340682388	What I Loved	Siri Hustvedt	2002	
3187	340686030	The Quiet Game	Greg Iles	1999	
3188	340739304	The Face Of Deception	Iris Johansen	1998	
3189	340752459	September	Rosamunde Pilcher	1990	
3190	340752475	Coming Home	Rosamunde Pilcher	1995	
3191	340752483	Winter Solstice	Rosamunde Pilcher	2000	
3192	340796146	Five on a Treasure Island 	Enid Blyton	1942	
3193	340796154	Five Go Adventuring Again	Enid Blyton	1943	
3194	340796170	Five Run Away Together	Enid Blyton	1944	
3195	340796189	Five Go to Smuggler's Top	Enid Blyton	1942	
3196	340818670	Hearts in Atlantis	Stephen King	1999	
3197	340829788	Wizard and Glass	Stephen King, Dave McKean	1997	
3198	340830107	The Ship of Brides	Jojo Moyes	2005	
3199	340837942	The Moon is a Harsh Mistress	Robert A. Heinlein	1966	
3200	340839937	Dune	Frank Herbert	1965	
3201	340841125	Be Careful What You Wish For	Alexandra Potter	2006	
3202	340863684	Tortured for Christ	Richard Wurmbrand	1940	
3203	340881542	Class A (Cherub #2)	Robert Muchamore	2004	
3204	340884355	Maximum Security (Cherub #3)	Robert Muchamore	2005	
3205	340893605	Incarceron	Catherine Fisher	2007	
3206	340893613	Sapphique	Catherine Fisher	2000	
3207	340894334	The Killing (Cherub #4)	Robert Muchamore	2005	
3208	340895934	Silver Bay	Jojo Moyes	2007	
3209	340896965	One Day	David Nicholls	2009	
3210	340911719	Mad Dogs	Robert Muchamore	2007	
3211	340936150	My Booky Wook	Russell Brand	2007	
3212	345032799	Games People Play	Eric Berne	1964	
3213	345298349	Gorky Park	Martin Cruz Smith	1981	
3214	345299116	The Midwich Cuckoos	John Wyndham	1957	
3215	345300785	Enchanters' End Game	David Eddings	1984	
3216	345301110	Histoire d'O	Pauline Réage, Sabine d'Estree	1954	
3217	345313151	Bearing an Hourglass	Piers Anthony	1984	
3218	345316509	Job: A Comedy of Justice	Robert A. Heinlein	1984	
3219	345318854	With a Tangled Skein	Piers Anthony	1985	
3220	345322215	Wielding a Red Sword	Piers Anthony	1986	
3221	345322231	Being a Green Mother (Incarnations of Immortality, #5)	Piers Anthony	1987	
3222	345324390	The Gods of Mars	Edgar Rice Burroughs	1913	
3223	345326490	Desert Solitaire	Edward Abbey	1968	
3224	345327861	Crystal Singer	Anne McCaffrey	1982	
3225	345329457	At the Mountains of Madness	H.P. Lovecraft	1931	
3226	345330137	Double Star	Robert A. Heinlein	1956	
3227	345334310	The Ship Who Sang	Anne McCaffrey	1969	
3228	345335082	Dragonquest	Anne McCaffrey	1971	
3229	345335457	Magician's Gambit	David Eddings	1983	
3230	345335651	Queen of Sorcery	David Eddings	1982	
3231	345335708	Castle of Wizardry	David Eddings	1984	
3232	345338545	Follow the River	James Alexander Thom	1981	
3233	345338588	On a Pale Horse	Piers Anthony	1983	
3234	345339258	Dibs in Search of Self: Personality Development in Play Therapy	Virginia M. Axline	1964	
3235	345339738	The Return of the King	J.R.R. Tolkien	1955	
3236	345340442	The Belgariad Boxed Set: Pawn of Prophecy, Queen of Sorcery, Magician's Gambit, Castle of Wizardry, & Enchanters' End Game (The Belgariad, #1-5)	David Eddings	1984	
3237	345341678	The White Dragon (Pern: Dragonriders of Pern, #3)	Anne McCaffrey	1978	
3238	345346297	The Dragons of Eden: Speculations on the Evolution of Human Intelligence	Carl Sagan	1977	
3239	345347951	Childhood's End	Arthur C. Clarke	1953	
3240	345348109	The Killer Angels	Michael Shaara	1974	
3241	345348656	Lord Foul's Bane	Stephen R. Donaldson	1977	
3242	345348664	The Illearth War	Stephen R. Donaldson	1977	
3243	345348672	The Power That Preserves	Stephen R. Donaldson	1977	
3244	345349571	A Distant Mirror: The Calamitous 14th Century	Barbara W. Tuchman	1978	
3245	345350499	The Mists of Avalon	Marion Zimmer Bradley	1982	
3246	345350685	The Autobiography of Malcolm X	Malcolm X, Alex Haley	1965	
3247	345350804	The Best of H.P. Lovecraft 	H.P. Lovecraft, August Derleth, Robert Bloch	1963	
3248	345352661	Guardians of the West	David Eddings	1985	
3249	345354907	The Case of Charles Dexter Ward	H.P. Lovecraft	1941	
3250	345354915	Split Infinity (Apprentice Adept, #1)	Piers Anthony	1980	
3251	345363132	The Sunne in Splendour	Sharon Kay Penman	1982	
3252	345363310	Demon Lord of Karanda	David Eddings	1988	
3253	345366239	The Eight	Katherine Neville	1988	
3254	345367693	The Diamond Throne	David Eddings	1989	
3255	345368584	The Hobbit	Chuck Dixon, J.R.R. Tolkien, David Wenzel, Sean Deming	1989	
3256	345369351	Sorceress of Darshiva	David Eddings	1989	
3257	345371984	Last Chance to See	Douglas Adams, Mark Carwardine	1990	
3258	345373529	The Ruby Knight	David Eddings	1990	
3259	345373944	Anne Rice's The Vampire Lestat: The Graphic Novel	Faye Perozich, Anne Rice, John Bolton, Daerick Gröss	1989	
3260	345376048	The Feast of All Saints	Anne Rice	1979	
3261	345376595	Pale Blue Dot: A Vision of the Human Future in Space	Carl Sagan, Ann Druyan	1994	
3262	345379063	Legend 	David Gemmell	1984	
3263	345379071	Waylander 	David Gemmell	1986	
3264	345379187	Billions and Billions: Thoughts on Life and Death at the Brink of the Millennium	Carl Sagan, Ann Druyan	1997	
3265	345379624	Running with the Demon	Terry Brooks	1997	
3266	345382846	Here be Dragons	Sharon Kay Penman	1985	
3267	345383273	Domes of Fire	David Eddings	1992	
3268	345388666	The Shining Ones	David Eddings	1993	
3269	345390407	The Hidden City	David Eddings	1994	
3270	345391802	The Hitchhiker's Guide to the Galaxy	Douglas Adams	1979	
3271	345396553	Ilse Witch 	Terry Brooks	2000	
3272	345396685	When Christ and His Saints Slept	Sharon Kay Penman	1994	
3273	345396936	Cry to Heaven	Anne Rice	1982	
3274	345397673	Antrax	Terry Brooks	2001	
3275	345403959	Belgarath the Sorcerer	David Eddings, Leigh Eddings	1995	
3276	345404475	Do Androids Dream of Electric Sheep?	Philip K. Dick, Roger Zelazny	1968	
3277	345405137	Ticktock	Dean Koontz	1996	
3278	345409469	The Demon-Haunted World: Science as a Candle in the Dark	Carl Sagan, Ann Druyan	1995	
3279	345409876	Women Who Run With the Wolves	Clarissa Pinkola Estés	1992	
3280	345410092	Me: Stories of My Life	Katharine Hepburn	1991	
3281	345412214	The Last Don	Mario Puzo	1996	
3282	345413970	2010: Odyssey Two	Arthur C. Clarke	1982	
3283	345413997	The Door into Summer	Robert A. Heinlein	1957	
3284	345414004	Friday	Robert A. Heinlein	1982	
3285	345416260	Pope Joan	Donna Woolfolk Cross	1996	
3286	345417968	The 158-Pound Marriage	John Irving	1974	
3287	345418263	The Princess Bride	William Goldman	1973	
3288	345418417	The Ringworld Engineers 	Larry Niven	1979	
3289	345418425	Footfall	Larry Niven, Jerry Pournelle	1985	
3290	345418468	The Wounded Land	Stephen R. Donaldson	1979	
3291	345418476	The One Tree	Stephen R. Donaldson	1982	
3292	345418484	The White Gold Wielder	Stephen R. Donaldson	1983	
3293	345418506	The Source of Magic (Xanth, #2)	Piers Anthony	1979	
3294	345418514	Castle Roogna	Piers Anthony	1979	
3295	345418522	Centaur Aisle (Xanth, #4)	Piers Anthony	1981	
3296	345418530	Ogre, Ogre (Xanth, #5)	Piers Anthony	1982	
3297	345418549	Night Mare (Xanth, #6)	Piers Anthony	1982	
3298	345418778	Mostly Harmless	Douglas Adams	1992	
3299	345418905	Life, the Universe and Everything	Douglas Adams	1982	
3300	345418921	The Restaurant at the End of the Universe	Douglas Adams	1980	
3301	345418972	Sphere	Michael Crichton	1987	
3302	345419359	All the Weyrs of Pern	Anne McCaffrey	1991	
3303	345419383	The Dolphins of Pern	Anne McCaffrey	1994	
3304	345419391	The Renegades of Pern	Anne McCaffrey	1989	
3305	345419588	Nerilka's Story (Pern: Dragonriders of Pern, #5)	Anne McCaffrey	1986	
3306	345419626	The Queen of the Damned	Anne Rice	1988	
3307	345419634	The Tale of the Body Thief	Anne Rice	1992	
3308	345419677	To Your Scattered Bodies Go	Philip José Farmer	1971	
3309	345422406	Merrick	Anne Rice	2000	
3310	345422554	Polgara the Sorceress	David Eddings, Leigh Eddings	1997	
3311	345423291	What We Keep 	Elizabeth Berg	1998	
3312	345424646	A Knight of the Word 	Terry Brooks	1998	
3313	345425502	The Life of Elizabeth I	Alison Weir	1996	
3314	345427637	The Angel of Darkness	Caleb Carr	1997	
3315	345432401	Omertà	Mario Puzo	1999	
3316	345434803	The Vampire Armand	Anne Rice	1998	
3317	345434811	The Last Full Measure	Jeff Shaara	1991	
3318	345435168	Open House	Elizabeth Berg	2000	
3319	345435753	Morgawr 	Terry Brooks	2002	
3320	345436830	Christ the Lord: Out of Egypt	Anne Rice	2005	
3321	345438205	3001: The Final Odyssey	Arthur C. Clarke	1997	
3322	345438310	Nicholas and Alexandra	Robert K. Massie	1967	
3323	345439104	Drowning Ruth	Christina Schwarz	2000	
3324	345440781	The Redemption of Althalus	David Eddings, Leigh Eddings	2000	
3325	345441702	The Sicilian	Mario Puzo	1984	
3326	345443284	While I Was Gone	Sue Miller	1998	
3327	345443586	Mistral's Kiss	Laurell K. Hamilton	2006	
3328	345443608	A Stroke of Midnight (Merry Gentry, #4)	Laurell K. Hamilton	2005	
3329	345444078	The Shadows Over Innsmouth	Stephen Jones, H.P. Lovecraft, Kim Newman, Brian Mooney, Nicholas Royle, David Langford, Michael Marshall Smith, Brian Lumley, Neil Gaiman, Basil Copper, Jack Yeovil, Guy N. Smith, Adrian Cole, D.F. Lewis, Ramsey Campbell, David Sutton, Peter Tremayne	1994	
3330	345447867	The Apprentice	Tess Gerritsen	2002	
3331	345447980	La planète des singes	Pierre Boulle, Xan Fielding	1963	
3332	345450728	Distant Shores	Kristin Hannah	2002	
3333	345450744	Between Sisters	Kristin Hannah	2003	
3334	345451325	The Fall of Reach	Eric S. Nylund	2001	
3335	345451902	The Last Detective	Robert Crais	2003	
3336	345452003	The Accidental Tourist	Anne Tyler, Jennifer Bassett	1985	
3337	345453743	The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story	Douglas Adams	1996	
3338	345453751	The Sword of Shannara Trilogy	Terry Brooks	1979	
3339	345454944	Sunset Express	Robert Crais	1996	
3340	345455290	The Salmon of Doubt: Hitchhiking the Galaxy One Last Time	Douglas Adams	2002	
3341	345455681	London: The Novel	Edward Rutherfurd	1997	
3342	345456327	The Belgariad: Part One - Pawn of Prophecy / Queen of Sorcery / Magician's Gambit	David Eddings	1982	
3343	345457374	The Bonesetter's Daughter	Amy Tan	2001	
3344	345457692	Altered Carbon	Richard K. Morgan	2002	
3345	345457714	Broken Angels	Richard K. Morgan	2003	
3346	345459202	Big Stone Gap	Adriana Trigiani	2000	
3347	345459210	The Flood	William C. Dietz	2003	
3348	345459407	Perdido Street Station	China Miéville	2000	
3349	345460014	The Scar	China Miéville	2002	
3350	345460065	The Romanov Prophecy	Steve Berry	2004	
3351	345461622	Pandora's Star	Peter F. Hamilton	2004	
3352	345461665	Judas Unchained	Peter F. Hamilton	2005	
3353	345463153	The Fourth Hand	John Irving	2001	
3354	345465083	Seabiscuit	Laura Hillenbrand	1999	
3355	345465296	The Complete Guide to Middle-Earth	Robert Foster, J.R.R. Tolkien	1974	
3356	345466608	When the Bough Breaks	Jonathan Kellerman	1985	
3357	345467515	The Things We Do for Love	Kristin Hannah	2004	
3358	345467531	Magic Hour	Kristin Hannah	2006	
3359	345467817	First Strike	Eric S. Nylund	2003	
3360	345468643	Pawn of Prophecy	David Eddings	1982	
3361	345468694	Blessings	Anna Quindlen	2002	
3362	345469011	A Widow for One Year	John Irving	1998	
3363	345470575	ツバサ-RESERVoir CHRoNiCLE- 1	CLAMP, Anthony Gerard	2004	
3364	345470583	xxxHOLiC #1	CLAMP, William Flanagan	2003	
3365	345471016	The Scent of Rain and Lightning	Nancy Pickard	2010	
3366	345471172	On Mystic Lake	Kristin Hannah	1999	
3367	345472446	Lucia, Lucia	Adriana Trigiani	2003	
3368	345472454	The Amateur Marriage	Anne Tyler	2004	
3369	345475690	Angry Housewives Eating Bon Bons	Lorna Landvik	2003	
3370	345475836	Gateway	Frederik Pohl	1977	
3371	345476026	Await Your Reply	Dan Chaon	2009	
3372	345476093	The Guns of August	Barbara W. Tuchman, Robert K. Massie	1962	
3373	345476131	The Third Secret	Steve Berry	2005	
3374	345476166	The Templar Legacy	Steve Berry	2006	
3375	345476867	Pandora / Vittorio the Vampire (New Tales of the Vampires)	Anne Rice	1998	
3376	345476875	Interview with the Vampire	Anne Rice	1976	
3377	345476883	The Vampire Lestat	Anne Rice	1985	
3378	345476980	Vanish	Tess Gerritsen	2006	
3379	345476999	The Mephisto Club	Tess Gerritsen	2006	
3380	345477243	Back When We Were Grownups	Anne Tyler	2001	
3381	345478169	A Caress of Twilight (Merry Gentry, #2)	Laurell K. Hamilton	2002	
3382	345478991	The Faithful Spy	Alex Berenson	2006	
3383	345479122	ヤマトナデシコ七変化	Tomoko Hayakawa, David Ury	2000	
3384	345479173	Trump: The Art of the Deal	Donald J. Trump, Tony Schwartz	1987	
3385	345479335	Vector Prime (Star Wars: The New Jedi Order, #1)	R.A. Salvatore	1999	
3386	345479718	Woken Furies	Richard K. Morgan	2005	
3387	345479726	Until I Find You	John Irving	2005	
3388	345480260	A Redbird Christmas	Fannie Flagg	2004	
3389	345481283	His Majesty's Dragon	Naomi Novik	2006	
3390	345481291	Throne of Jade	Naomi Novik	2006	
3391	345481305	Black Powder War	Naomi Novik	2006	
3392	345482409	Enchantment	Orson Scott Card	1999	
3393	345483448	Summer Island	Kristin Hannah	2001	
3394	345483898	High Druid of Shannara, vol. 1: Jarka Ruus	Terry Brooks	2003	
3395	345484088	Armageddon's Children	Terry Brooks	2006	
3396	345484118	The Elves of Cintra 	Terry Brooks	2007	
3397	345484266	Dragonflight	Anne McCaffrey, Teodor Panasiński	1968	
3398	345484274	Angel Falls	Kristin Hannah	2000	
3399	345485599	Breathing Lessons	Anne Tyler	1988	
3400	345485602	Daisy Fay and the Miracle Man	Fannie Flagg	1981	
3401	345485750	The Alexandria Link	Steve Berry	2007	
3402	345485777	The Venetian Betrayal	Steve Berry	2007	
3403	345485793	The Charlemagne Pursuit	Steve Berry	2008	
3404	345487133	Earth Abides	George R. Stewart	1949	
3405	345490657	A Kiss of Shadows (Merry Gentry, #1)	Laurell K. Hamilton	2000	
3406	345491149	Dragonheart (Dragonriders of Pern)	Todd J. McCaffrey	2008	
3407	345494857	 Innocent Traitor	Alison Weir	2006	
3408	345494997	Loving Frank	Nancy Horan	2007	
